彩种,期数,方案ID,玩法Name,玩法Id,下注内容,投注金额,开奖号码,结果,派彩,返点
广东11选5,20180424012,210g2018042401236om2eij,两面-第三球-大,41301,大,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eii,两面-总和＆龙虎-总和尾大,41605,大,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eif,两面-第二球-小,41202,小,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eid,两面-第五球-大,41501,大,10.0,,系统撤单,0.0,0.0
江西11选5,20180424012,21042018042401236oh2eib,连码-一中一-3,42603,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oh2eia,连码-一中一-10,42610,10,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei7,连码-二中二-二中二,43101,"07,01",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei5,连码-前二组选-前二组选,43801,"06,02",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei4,直选-前三直选-前三直选,44201,"09,08,01",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei1,单号-第三球-2,42302,02,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ehv,单号-第一球-3,42103,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehu,单号-第一球-11,42111,11,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehr,单号-第二球-1,42201,01,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehq,单号-第五球-3,42503,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehn,单号-第二球-10,42210,10,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehl,单号-第一球-9,42109,09,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehk,单号-第二球-7,42207,07,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehh,单号-第一球-5,42105,05,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehf,单号-第三球-7,42307,07,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehe,两面-第五球-单,41503,单,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehb,两面-第二球-单,41203,单,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2eha,两面-第五球-小,41502,小,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236od2eh7,两面-第二球-大,41201,大,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236od2eh5,两面-总和＆龙虎-总和单,41603,单,2.0,,系统撤单,0.0,0.0
